Head,Head-Tail Bonding,Lipid Type,Category,Main Class,Sub Class,Class Level 4,Nota
Glucidos,Ester,AC2SGL(,Saccharolipids [SL],Acyltrehaloses [SL03],N/A,N/A,"Raros, tipicos de bacterias; https://www.lipidmaps.org/databases/lmsd/LMSL03001275"
NA,NA,ANACARD(,N/A,N/A,N/A,N/A,NA
1-O-Behenoyl-Cer,Amida y Ester con 1-O-FA,behenoyl-Cer(d,Sphingolipids [SP],Ceramides [SP02],Acylceramides [SP0204],N/A,https://www.lipidmaps.org/databases/lmsd/LMSP02040006
CL,Ester,BPG(C,Glycerophospholipids [GP],Glycerophosphoglycerophosphoglycerols [GP12],Dialkylglycerophosphoglycerophosphodiradylglycerols [GP1212],N/A,Tiene la cabeza de una CL; https://www.lipidmaps.org/databases/lmsd/LMGP12120001
CAR,Ester,CAR(,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],N/A,
1-O-carboceroyl-Cer,Amida y Ester con 1-O-FA,carboceroyl-Cer(d,Sphingolipids [SP],Ceramides [SP02],Acylceramides [SP0204],N/A,https://www.lipidmaps.org/databases/lmsd/LMSP02040018
NA,NA,CATECHOL(,N/A,N/A,N/A,N/A,NA
CDP-DG,Ester,CDP-DG(,Glycerophospholipids [GP],CDP-Glycerols [GP13],CDP-diacylglycerols [GP1301],N/A,https://www.lipidmaps.org/databases/lmsd/LMGP13010001
CDP-DG,Ester,CDP-DG(a-,Glycerophospholipids [GP],CDP-Glycerols [GP13],CDP-diacylglycerols [GP1301],N/A,
CDP-DG,Ester,CDP-DG(i-,Glycerophospholipids [GP],CDP-Glycerols [GP13],CDP-diacylglycerols [GP1301],N/A,
CE,Ester,CE(,Sterol lipids [ST],Sterols [ST01],Steryl esters [ST0102],N/A,
Cer,Amida,Cer(d,Sphingolipids [SP],Ceramides [SP02],N-acylsphinganines (dihydroceramides) [SP0202],N/A,
Cer,Amida,Cer(d,Sphingolipids [SP],Ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],N/A,
Cer,Amida,Cer(m,Sphingolipids [SP],Ceramides [SP02],1-deoxyceramides [SP0206],N/A,
Cer,Amida,Cer(t,Sphingolipids [SP],Ceramides [SP02],Phosphoglycosphingolipids [SP0604],N/A,
Cer,Amida,Cer(t,Sphingolipids [SP],Ceramides [SP02],N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],N/A,
Cer,Amida,Cer(t,Sphingolipids [SP],Ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],N/A,
Cer,Amida,Cer(t,Sphingolipids [SP],Acidic glycosphingolipids [SP06],Phosphoglycosphingolipids [SP0604],N/A,
Cer,Amida,Cer(t,Sphingolipids [SP],Acidic glycosphingolipids [SP06],N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],N/A,
Cer,Amida,Cer(t,Sphingolipids [SP],Acidic glycosphingolipids [SP06],N-acylsphingosines (ceramides) [SP0201],N/A,
